Date / Time,City,State,Shape,Duration,Summary,Posted
12/19/12 19:00,Homer,AK,Fireball,5 minutes,"Saw reddish orange circles in the sky over the bay in Homer, AK.",12/21/2012
12/19/13 16:00,Anchorage,AK,Circle,~5 minutes,"Two large, bright red, circular objects falling out of the sky over Elmendorf AFB.",12/23/2013
12/19/16 10:30,Anchorage,AK,Circle,160 seconds,4 red silent crafts flying from North to South with no flashing airplane lights. ((anonymous report)),12/21/2016
12/2/09 21:20,Fort Greely,AK,Triangle,10 seconds,Look those coordinates on google earth ;) :0,2/14/2010
12/20/04 20:00,Fairbanks,AK,Unknown,About 15-30 Minutes,A Cluster of Fixed White Lights Hovering Over Fairbanks Alaska is Seen From Wal~Mart.,10/20/2005
12/20/68 2:00,Juneau,AK,Other,15 minutes?,"Earliest encounter, half-moon shaped object shot paralyzing light beam through bedroom window.",8/30/1999
12/20/68 2:00,Juneau,AK,Other,15 minutes?,"Strange half-moon shaped thing shoots light into room, causes paralysis and other effects.",11/2/1999
12/21/95 19:30,Birchwood,AK,Fireball,6-7 minutes,Highly unusual lengthy meteor observation.,12/18/2014
12/22/13 18:00,Soldotna,AK,Light,1 second (each),Orange flashes of light in different areas.,12/23/2013
12/23/13 16:00,Anchorage,AK,Fireball,~10 minutes,"Very large fireball with a fire trail falling over southside of Anch. inlet, 2 jets observed flying towards object.",10/3/2014
12/23/13 21:15,Wasilla,AK,Fireball,10 seconds,Orange fireball looking object moving fluidly across sky over Wasilla moving fast enough to appear propelled. Stopped and then disappea,1/10/2014
12/23/13 22:11,Anchorage,AK,Light,5 minutes,stationary amber/orange colored lights over Anchorage.,1/10/2014
12/23/13 22:22,Anchorage,AK,Circle,10 seconds,"At least 40 round red orbs hovering in formation above the hillside, disappeared quickly.",1/10/2014
12/23/16 18:10,Delta Junction,AK,Fireball,45 seconds,"Seven fireball glowing/pulsating objects were seen moving in erratic, nonlinear fashions over Jack Warren Rd at night. They were in a s",12/30/2016
12/24/11 2:00,Fairbanks,AK,Sphere,1 hour,Bright Orb/Sphere with pulsating blue and red lights hovering with jerky motion. ((NUFORC Note: Sighting of Sirius?? PD)),1/12/2012
12/24/14 17:30,Fairbanks,AK,Triangle,30 minutes,Three distant lights that appears to be aircraft on a collision course. Two lights disappeared leaving one.,1/7/2015
12/24/2002,Two Rivers,AK,Unknown,30 minutes,nothing was seen just a very loud noise for 1/2 hour then a bright light flashed and lit up the sky then silence,3/17/2017
12/25/03 0:00,Anchorage,AK,Sphere,approx 5 min,black sphere with bright orange spotlight appears on x-mas eve in Alaska.,7/25/2004
12/25/05 23:30,Anchorage,AK,Light,5 min,"ufo was traveling above the clouds, over east Anchorage",2/14/2006
12/25/12 16:30,Fairbanks,AK,Oval,2 minutes,2 oval shaped bright reddish with yellow to white leading light fire balls in sky over fairbanks.,2/4/2013
12/25/96 22:00,Seward,AK,Light,30 seconds,it was green hovering,1/17/2004
12/26/09 17:30,Bethel,AK,Disk,90 seconds,Large fireball-like red/orange disc low in the sky and moving slowly right to left. Soundless. Clear night.,2/14/2010
12/26/12 7:40,Fairbanks,AK,Triangle,10,Fairbanks Alaska Ufo Sighting Over Birtch Hill.,2/4/2013
12/26/13 18:21,Anchorage,AK,Unknown,5 minutes,Orange light in sky approaching from southeast. Steady trajectory.,1/10/2014
12/26/14 20:40,Anchorage,AK,Disk,10 seconds,Saucer hovering over military base forest off of Seward Highway in Anchorage.,1/7/2015
12/26/98 12:30,Eagle River,AK,Oval,15 min.,"Girlfriend and I, were driving down a remote road, and we wittnessed a oval shaped craft land on top of a mountain. It was a very clea",9/6/2002
12/28/12 19:30,Eagle River,AK,Oval,instant,"Cloud colored but clearly definable with no lights, girlfriend and I both exclaimed at the same time on the size and speed of the objec",2/4/2013
12/29/08 15:00,Fairbanks,AK,Unknown,seconds,the light was very bright and had a very large vapor trail,1/10/2009
12/29/08 15:10,Tok (30 miles NW of),AK,Other,25 minutes,erratic vapor trail accompanied by an explosion was witnessed by me in my SE sky at around 15:10 AST,1/10/2009
12/30/04 20:00,Anchorage,AK,Light,15 min,"Two hovering lights above Anchorage, Alaska",1/11/2005
